name,kind,route_index,distance_m,road_option,carla_x,carla_y,carla_z,carla_yaw,road_id,section_id,lane_id,lane_width,s,is_junction
ROUTE_0098,mission_route_waypoint,98,208.474,STRAIGHT,83.24230194091797,-78.55265045166016,8.0,272.02410888671875,1805,0,1,3.5,5.999999999999936,True
ROUTE_0099,mission_route_waypoint,99,210.474,STRAIGHT,83.31294250488281,-80.55139923095703,8.0,272.02410888671875,1805,0,1,3.5,3.9999999999999383,True
ROUTE_0100,mission_route_waypoint,100,214.474,STRAIGHT,83.4542236328125,-84.54890441894531,8.0,272.02410888671875,42,0,1,3.5,37.48,False
ROUTE_0101,mission_route_waypoint,101,214.474,LANEFOLLOW,83.4542236328125,-84.54890441894531,8.0,272.02410888671875,42,0,1,3.5,37.48,False
ROUTE_0102,mission_route_waypoint,102,216.474,LANEFOLLOW,83.52486419677734,-86.54765319824219,8.0,272.02410888671875,42,0,1,3.5,35.48,False
ROUTE_0103,mission_route_waypoint,103,218.474,LANEFOLLOW,83.59550476074219,-88.54640197753906,8.0,272.02410888671875,42,0,1,3.5,33.48,False
ROUTE_0104,mission_route_waypoint,104,220.474,LANEFOLLOW,83.66614532470703,-90.54515838623047,8.0,272.02410888671875,42,0,1,3.5,31.48,False
ROUTE_0105,mission_route_waypoint,105,222.474,LANEFOLLOW,83.73678588867188,-92.54391479492188,8.0,272.02410888671875,42,0,1,3.5,29.480000000000004,False
ROUTE_0106,mission_route_waypoint,106,224.474,LANEFOLLOW,83.80742645263672,-94.54266357421875,8.0,272.02410888671875,42,0,1,3.5,27.480000000000008,False
ROUTE_0107,mission_route_waypoint,107,226.474,LANEFOLLOW,83.87806701660156,-96.54141235351562,8.0,272.02410888671875,42,0,1,3.5,25.48000000000001,False
ROUTE_0108,mission_route_waypoint,108,228.474,LANEFOLLOW,83.9487075805664,-98.54016876220703,8.0,272.02410888671875,42,0,1,3.5,23.480000000000015,False
ROUTE_0109,mission_route_waypoint,109,230.474,LANEFOLLOW,84.01934814453125,-100.5389175415039,8.0,272.02410888671875,42,0,1,3.5,21.480000000000018,False
ROUTE_0110,mission_route_waypoint,110,232.474,LANEFOLLOW,84.0899887084961,-102.53767395019531,8.0,272.02410888671875,42,0,1,3.5,19.48000000000002,False
ROUTE_0111,mission_route_waypoint,111,234.474,LANEFOLLOW,84.16062927246094,-104.53642272949219,8.0,272.02410888671875,42,0,1,3.5,17.480000000000025,False
ROUTE_0112,mission_route_waypoint,112,236.474,LANEFOLLOW,84.23126983642578,-106.53517150878906,8.0,272.02410888671875,42,0,1,3.5,15.480000000000027,False
ROUTE_0113,mission_route_waypoint,113,238.474,LANEFOLLOW,84.30191040039062,-108.53392791748047,8.0,272.02410888671875,42,0,1,3.5,13.480000000000029,False
ROUTE_0114,mission_route_waypoint,114,240.474,LANEFOLLOW,84.37255096435547,-110.53267669677734,8.0,272.02410888671875,42,0,1,3.5,11.48000000000003,False
ROUTE_0115,mission_route_waypoint,115,242.474,LANEFOLLOW,84.44319152832031,-112.53143310546875,8.0,272.02410888671875,42,0,1,3.5,9.480000000000032,False
ROUTE_0116,mission_route_waypoint,116,244.474,LANEFOLLOW,84.51383209228516,-114.53018188476562,8.0,272.02410888671875,42,0,1,3.5,7.480000000000034,False
ROUTE_0117,mission_route_waypoint,117,246.474,LANEFOLLOW,84.58447265625,-116.52893829345703,8.0,272.02410888671875,42,0,1,3.5,5.480000000000036,False
ROUTE_0118,mission_route_waypoint,118,248.474,LANEFOLLOW,84.65511322021484,-118.5276870727539,8.0,272.02410888671875,42,0,1,3.5,3.480000000000038,False
ROUTE_0119,mission_route_waypoint,119,251.954,LANEFOLLOW,84.77802276611328,-122.00552368164062,8.0,272.02410888671875,434,0,1,3.5,25.35,True
ROUTE_0120,mission_route_waypoint,120,251.954,STRAIGHT,84.77802276611328,-122.00552368164062,8.0,272.02410888671875,434,0,1,3.5,25.35,True
ROUTE_0121,mission_route_waypoint,121,253.954,STRAIGHT,84.84866333007812,-124.0042724609375,8.0,272.02410888671875,434,0,1,3.5,23.350000000000005,True
ROUTE_0122,mission_route_waypoint,122,255.954,STRAIGHT,84.91930389404297,-126.0030288696289,8.0,272.02410888671875,434,0,1,3.5,21.35000000000001,True
ROUTE_0123,mission_route_waypoint,123,257.954,STRAIGHT,84.98994445800781,-128.0017852783203,8.0,272.02410888671875,434,0,1,3.5,19.350000000000012,True
ROUTE_0124,mission_route_waypoint,124,259.954,STRAIGHT,85.06058502197266,-130.0005340576172,8.0,272.02410888671875,434,0,1,3.5,17.350000000000016,True
ROUTE_0125,mission_route_waypoint,125,261.954,STRAIGHT,85.1312255859375,-131.99928283691406,8.0,272.02410888671875,434,0,1,3.5,15.350000000000017,True
ROUTE_0126,mission_route_waypoint,126,263.954,STRAIGHT,85.20186614990234,-133.99803161621094,8.0,272.02410888671875,434,0,1,3.5,13.35000000000002,True
ROUTE_0127,mission_route_waypoint,127,265.954,STRAIGHT,85.27250671386719,-135.9967803955078,8.0,272.02410888671875,434,0,1,3.5,11.350000000000021,True
ROUTE_0128,mission_route_waypoint,128,267.954,STRAIGHT,85.34314727783203,-137.99554443359375,8.0,272.02410888671875,434,0,1,3.5,9.350000000000023,True
ROUTE_0129,mission_route_waypoint,129,269.954,STRAIGHT,85.41378784179688,-139.99429321289062,8.0,272.02410888671875,434,0,1,3.5,7.3500000000000245,True
ROUTE_0130,mission_route_waypoint,130,271.954,STRAIGHT,85.48442840576172,-141.9930419921875,7.999885082244873,272.02410888671875,434,0,1,3.5,5.350000000000026,True
ROUTE_0131,mission_route_waypoint,131,273.954,STRAIGHT,85.55506896972656,-143.99179077148438,7.94899320602417,272.02410888671875,434,0,1,3.5,3.3500000000000285,True
